"filename", "language", "PHP", "XML", "YAML", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\sistema-venta\database\migrations\2024_06_22_021228_create_productos_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 35
"c:\xampp\htdocs\sistema-venta\database\seeders\DatabaseSeeder.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\ar\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\bn\adminlte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\bn\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\bn\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\ca\adminlte.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\de\adminlte.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\de\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\de\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\en\adminlte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\en\iframe.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\en\menu.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\xampp\htdocs\sistema-venta\lang\vendor\adminlte\es\adminlte.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
